,name,searched_longitude,searched_latitude,number of bikes
0,WESTERN WAY,-6.269425,53.354929,40
1,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23
2,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30
3,BOLTON STREET,-6.269859,53.351182,20
4,GRANGEGORMAN LOWER (SOUTH),-6.278681,53.354663,40
5,SMITHFIELD,-6.278214,53.347692,30
6,YORK STREET EAST,-6.262003,53.338755,32
7,CLARENDON ROW,-6.262501,53.340927,31
8,ECCLES STREET EAST,-6.265601,53.358115,27
9,KING STREET NORTH,-6.273507,53.350291,30
10,BENSON STREET,-6.233451,53.344153,40
11,GRANGEGORMAN LOWER (CENTRAL),-6.278424,53.355173,40
12,ROTHE ABBEY,-6.30395,53.338776,35
13,CITY QUAY,-6.246154,53.346637,30
14,CLONMEL STREET,-6.26298,53.336021,33
15,FITZWILLIAM SQUARE EAST,-6.2509,53.335211,40
16,EARLSFORT TERRACE,-6.258503,53.334295,30
17,PEARSE STREET,-6.250427,53.344304,30
18,JAMES STREET EAST,-6.248109,53.336597,30
19,JOHN STREET WEST,-6.277167,53.343105,31
20,EXCISE WALK,-6.244239,53.347777,40
21,MOUNTJOY SQUARE EAST,-6.256359,53.356717,40
22,KILMAINHAM LANE,-6.305085,53.341805,30
23,FRANCIS STREET,-6.275233,53.342081,30
24,GRATTAN STREET,-6.243778,53.339629,23
25,HIGH STREET,-6.275071,53.343565,29
26,MERRION SQUARE EAST,-6.246548,53.339434,30
27,HARCOURT TERRACE,-6.257942,53.332763,20
28,HEUSTON BRIDGE (NORTH),-6.292432,53.347802,40
29,LEINSTER STREET SOUTH,-6.254485,53.34218,30
30,GRANGEGORMAN LOWER (NORTH),-6.278378,53.355954,36
31,PORTOBELLO HARBOUR,-6.265163,53.330362,30
32,THE POINT,-6.230852,53.346867,40
33,GEORGES QUAY,-6.252192,53.347508,20
34,BROADSTONE,-6.272314,53.3547,30
35,HEUSTON STATION (CAR PARK),-6.297804,53.346985,40
36,PARNELL SQUARE NORTH,-6.26530144781526,53.3537415547453,20
37,PARNELL STREET,-6.265125,53.350929,20
38,AVONDALE ROAD,-6.276142,53.359405,35
39,YORK STREET WEST,-6.264699,53.339334,40
40,DAME STREET,-6.266802,53.344007,16
41,CHARLEMONT PLACE,-6.260177,53.330662,40
42,HANOVER QUAY EAST,-6.231755,53.343653,40
43,PARKGATE STREET,-6.291804,53.347972,38
44,BROOKFIELD ROAD,-6.300217,53.339005,30
45,TOWNSEND STREET,-6.254614,53.345922,20
46,ST JAMES HOSPITAL (LUAS),-6.292951,53.341359,40
47,SOUTH DOCK ROAD,-6.231291,53.341833,30
48,MOUNT STREET LOWER,-6.24153,53.33796,40
49,GEORGES LANE,-6.279696,53.35023,40
50,BLESSINGTON STREET,-6.26814,53.356769,20
51,SIR PATRICK DUN'S,-6.240642,53.339218,40
52,NORTH CIRCULAR ROAD,-6.260348,53.359624,30
53,MOLESWORTH STREET,-6.258117,53.341288,20
54,EMMET ROAD,-6.308191,53.340714,40
55,HARDWICKE PLACE,-6.263232,53.357043,25
56,MERRION SQUARE SOUTH,-6.248606,53.338614,40
57,TALBOT STREET,-6.25294,53.350974,40
58,ST. STEPHEN'S GREEN EAST,-6.256035,53.337824,40
59,GRAND CANAL DOCK,-6.238695,53.342638,40
60,MOUNTJOY SQUARE WEST,-6.258586,53.356299,30
61,FREDERICK STREET SOUTH,-6.256853,53.341515,40
62,GOLDEN LANE,-6.267732,53.340803,20
63,MERRION SQUARE WEST,-6.251988,53.339764,20
64,MOUNT BROWN,-6.29719,53.341645,22
65,CHRISTCHURCH PLACE,-6.27012,53.343368,20
66,HEUSTON BRIDGE (SOUTH),-6.292041,53.347106,25
67,FOWNES STREET UPPER,-6.263371,53.344603,30
68,GREEK STREET,-6.272976,53.346874,20
69,GRANTHAM STREET,-6.265436,53.334123,30
70,WILTON TERRACE,-6.252717,53.332383,20
71,WILTON TERRACE (PARK),-6.248345,53.333653,40
72,DEVERELL PLACE,-6.255265,53.351464,30
73,PHIBSBOROUGH ROAD,-6.273717,53.356307,40
74,RATHDOWN ROAD,-6.280337,53.35893,40
75,LIME STREET,-6.243576,53.346026,40
