,name,location,distance,searched_latitude,searched_longitude
0,La Pausa Caffe,1b-2 Blessington St,300,53.354929,-6.269425
1,The Black Sheep,61 Capel St,580,53.354929,-6.269425
2,Mr Fox Restaurant,"38 Parnell Square, Dublin, 1",375,53.354929,-6.269425
3,The Church,Junction Mary & Jervis Sts,725,53.354929,-6.269425
4,Brother Hubbard North,153 Capel St,868,53.354929,-6.269425
5,Aobaba,46A Capel St,679,53.354929,-6.269425
6,Vice Coffee Inc,"54, Middle Abbey St",910,53.354929,-6.269425
7,Arisu,119 Capel St,668,53.354929,-6.269425
8,Musashi Noodles & Sushi BAR,15 Capel St,888,53.354929,-6.269425
9,Gino's Gelato,41 Henry St,779,53.354929,-6.269425
10,The Winding Stair,40 Lower Ormond Quay,998,53.354929,-6.269425
11,The Tram Café,Wolfe Tone Square,782,53.354929,-6.269425
12,Hilan Chinese & Korean Restaurant,45 Capel St,697,53.354929,-6.269425
13,Madigan's,19 O'Connell St,697,53.354929,-6.269425
14,El Grito Mexican Taqueria,20 Mountjoy Square East,895,53.354929,-6.269425
15,Cafe Oasis,54 King Street North,691,53.354929,-6.269425
16,The Woollen Mills,41/42 Lower Ormond Quay,994,53.354929,-6.269425
17,Lemon Jelly Cafe,Millennium Walkway,903,53.354929,-6.269425
18,Slattery's,129 Capel St,739,53.354929,-6.269425
19,Murray's Bar & Grill,33-34 O'Connell St,609,53.354929,-6.269425
20,Woolshed Baa & Grill,Unit 4 Parnell Centre Parnell St,557,53.354929,-6.269425
21,Govindas,83 Middle Abbey St,935,53.354929,-6.269425
22,Takara,,869,53.354929,-6.269425
23,Nando's,51-52 Mary St,693,53.354929,-6.269425
24,The Gin Palace,42 Middle Abbey St,892,53.354929,-6.269425
25,Koffee & Kale,21b Hill St,575,53.354929,-6.269425
26,Mad Egg,"6 Jervis House, Millennium Walkway",914,53.354929,-6.269425
27,Fujiyama Restaurant,11/11a O Connell St,774,53.354929,-6.269425
28,Bullet Duck And Dumplings,Dublin,720,53.354929,-6.269425
