,name,location,rating,distance,review_count,price,searched_latitude,searched_longitude
0,The Boxty House,20-21 Temple Bar,4.3,1130.3421559969704,1231,€€€,53.354929,-6.269425
1,The Old Mill Restaurant,14 Temple Bar Square,4.5,1100.8448063856401,229,€€,53.354929,-6.269425
2,Bleecker Street Cafe Bar,68 Dorset Street,4.6,421.2579668805471,58,€€,53.354929,-6.269425
3,IL Vicoletto,5 Crow Street,4.5,1218.6802654473233,131,€€€,53.354929,-6.269425
4,The Bank on College Green,20-22 College Green,4.4,1294.2044660914846,441,€€€,53.354929,-6.269425
5,The Pig's Ear,4 Nassau Street,4.3,1708.6684826374292,238,€€€,53.354929,-6.269425
6,Darkey Kellys,Hotel Harding,4.6,1226.1722055941184,263,€€,53.354929,-6.269425
7,Pichet,14-15 Trinity Street,4.3,1285.58973436495,116,€€€,53.354929,-6.269425
8,L Mulligan Grocer,18 Stoneybatter,4.3,967.5291210431694,215,€€,53.354929,-6.269425
9,Featherblade,51B Dawson Street,4.4,1647.9754487976254,122,€€,53.354929,-6.269425
10,The Boxty House,20-21 Temple Bar,4.3,387.44084344804605,1231,€€€,53.349013,-6.260311
11,Cafe Azteca,,4.3,88.09968492668584,155,€€,53.349013,-6.260311
12,The Old Mill Restaurant,14 Temple Bar Square,4.5,393.2748179149598,229,€€,53.349013,-6.260311
13,M&L Chinese Restaurant,13 - 14 Cathedral Street,3.9,187.14452111341495,79,€€,53.349013,-6.260311
14,Merchant's Arch Bar,48-49 Wellington quay,4.1,371.8127317193802,155,€€,53.349013,-6.260311
15,F.X.Buckley,2 Crow Street,4.6,543.0231083218231,120,€€€,53.349013,-6.260311
16,The Pig's Ear,4 Nassau Street,4.3,832.4481495795926,238,€€€,53.349013,-6.260311
17,IL Vicoletto,5 Crow Street,4.5,552.1329712730436,131,€€€,53.349013,-6.260311
18,Klaw,5A Crown Alley,4.4,436.40077152126787,180,€€,53.349013,-6.260311
19,The Bank on College Green,20-22 College Green,4.4,529.7750118740395,441,€€€,53.349013,-6.260311
20,Matt The Thresher,31 -32 Lower Pembroke Street,4.1,147.97730812754838,178,€€€,53.336074,-6.252825
21,FX Buckley,1A Lower Pembroke St,4.3,172.70734118262214,95,€€€,53.336074,-6.252825
22,The Boxty House,20-21 Temple Bar,4.3,1240.553859501081,1231,€€€,53.336074,-6.252825
23,Brookwood,141 Baggot Street Lower,4.2,191.85373636662743,61,€€€,53.336074,-6.252825
24,BANG Restaurant & Bar,11 Merrion Row,4.2,291.7365241268099,83,€€€,53.336074,-6.252825
