,name_x,searched_longitude,searched_latitude,number of bikes,name_y,location,rating,distance,review_count,price
0,WESTERN WAY,-6.269425,53.354929,40,The Boxty House,20-21 Temple Bar,4.3,1130.3421559969704,1231,€€€
1,WESTERN WAY,-6.269425,53.354929,40,The Old Mill Restaurant,14 Temple Bar Square,4.5,1100.84480638564,229,€€
2,WESTERN WAY,-6.269425,53.354929,40,Bleecker Street Cafe Bar,68 Dorset Street,4.6,421.2579668805471,58,€€
3,WESTERN WAY,-6.269425,53.354929,40,IL Vicoletto,5 Crow Street,4.5,1218.680265447323,131,€€€
4,WESTERN WAY,-6.269425,53.354929,40,The Bank on College Green,20-22 College Green,4.4,1294.2044660914846,441,€€€
5,WESTERN WAY,-6.269425,53.354929,40,The Pig's Ear,4 Nassau Street,4.3,1708.6684826374292,238,€€€
6,WESTERN WAY,-6.269425,53.354929,40,Darkey Kellys,Hotel Harding,4.6,1226.1722055941184,263,€€
7,WESTERN WAY,-6.269425,53.354929,40,Pichet,14-15 Trinity Street,4.3,1285.58973436495,116,€€€
8,WESTERN WAY,-6.269425,53.354929,40,L Mulligan Grocer,18 Stoneybatter,4.3,967.5291210431694,215,€€
9,WESTERN WAY,-6.269425,53.354929,40,Featherblade,51B Dawson Street,4.4,1647.9754487976254,122,€€
10,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,The Boxty House,20-21 Temple Bar,4.3,387.44084344804605,1231,€€€
11,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,Cafe Azteca,,4.3,88.09968492668584,155,€€
12,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,The Old Mill Restaurant,14 Temple Bar Square,4.5,393.2748179149598,229,€€
13,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,M&L Chinese Restaurant,13 - 14 Cathedral Street,3.9,187.14452111341492,79,€€
14,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,Merchant's Arch Bar,48-49 Wellington quay,4.1,371.8127317193802,155,€€
15,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,F.X.Buckley,2 Crow Street,4.6,543.0231083218231,120,€€€
16,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,The Pig's Ear,4 Nassau Street,4.3,832.4481495795926,238,€€€
17,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,IL Vicoletto,5 Crow Street,4.5,552.1329712730436,131,€€€
18,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,Klaw,5A Crown Alley,4.4,436.4007715212679,180,€€
19,PRINCES STREET / O'CONNELL STREET,-6.260311,53.349013,23,The Bank on College Green,20-22 College Green,4.4,529.7750118740395,441,€€€
20,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,Matt The Thresher,31 -32 Lower Pembroke Street,4.1,147.97730812754838,178,€€€
21,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,FX Buckley,1A Lower Pembroke St,4.3,172.70734118262214,95,€€€
22,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,The Boxty House,20-21 Temple Bar,4.3,1240.553859501081,1231,€€€
23,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,Brookwood,141 Baggot Street Lower,4.2,191.85373636662743,61,€€€
24,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,BANG Restaurant & Bar,11 Merrion Row,4.2,291.7365241268099,83,€€€
25,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,Pearl Brasserie,20 Upper Merrion Street,4.5,259.71088465128867,74,€€€
26,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,The Pig's Ear,4 Nassau Street,4.3,704.1177189805176,238,€€€
27,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,Dax Restaurant,23 Upper Pembroke Street,4.6,182.92375584774248,32,€€€€
28,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,Hugos,6 Merrion Row,4.1,290.88756149433806,63,€€
29,FITZWILLIAM SQUARE WEST,-6.252825,53.336074,30,The Old Mill Restaurant,14 Temple Bar Square,4.5,1274.093466590352,229,€€
30,BOLTON STREET,-6.269859,53.351182,20,The Boxty House,20-21 Temple Bar,4.3,791.4205538061747,1231,€€€
31,BOLTON STREET,-6.269859,53.351182,20,Arisu Korean Restaurant,119-120 Capel Street,4.0,255.50380465378703,88,€€
32,BOLTON STREET,-6.269859,53.351182,20,The Old Mill Restaurant,14 Temple Bar Square,4.5,753.7441335312244,229,€€
33,BOLTON STREET,-6.269859,53.351182,20,IL Vicoletto,5 Crow Street,4.5,845.5045720561637,131,€€€
34,BOLTON STREET,-6.269859,53.351182,20,Darkey Kellys,Hotel Harding,4.6,808.8791352740852,263,€€
35,BOLTON STREET,-6.269859,53.351182,20,The Pig's Ear,4 Nassau Street,4.3,1407.1132180236536,238,€€€
36,BOLTON STREET,-6.269859,53.351182,20,Bunsen,22 Essex Street E,4.5,716.4190124219425,215,€€
37,BOLTON STREET,-6.269859,53.351182,20,F.X.Buckley,2 Crow Street,4.6,831.1508144978212,120,€€€
38,BOLTON STREET,-6.269859,53.351182,20,L Mulligan Grocer,18 Stoneybatter,4.3,855.9573212228266,215,€€
39,BOLTON STREET,-6.269859,53.351182,20,Pichet,14-15 Trinity Street,4.3,923.9859228846695,116,€€€
40,GRANGEGORMAN LOWER (SOUTH),-6.278681,53.354663,40,The Boxty House,20-21 Temple Bar,4.3,1477.6261055149168,1231,€€€
